method,outer_fold,optimizer_seed,best_fitness,best_evaluation_index,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,cache_hits,penalty_candidates,penalty_folds,best_penalty_folds,nonfinite_fold_losses,outer_test_used
improved_gwo,11,20260813,0.2054567601531744,11,512,2,0.1,0.0005094330152209379,5.857064162267314e-06,2380293,3,0,0,0,0,False
improved_gwo,12,20260811,0.19779521226882935,19,512,1,0.0,0.0020868614038249828,1.3970650202574943e-05,804357,3,0,0,0,0,False
improved_gwo,12,20260812,0.23101390153169632,12,512,2,0.3,0.0020575733387514184,0.00012042218780899627,2380293,3,0,0,0,0,False
improved_gwo,12,20260813,0.2230403408408165,21,384,2,0.2,0.0009874142353586783,7.433188896638199e-06,1342853,3,0,0,0,0,False
improved_gwo,13,20260811,0.20767451152205468,24,512,2,0.2,0.0009599180619654236,0.0005595782123303679,2380293,3,1,1,0,0,False
improved_gwo,13,20260812,0.1861501857638359,4,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,3,0,0,0,0,False
improved_gwo,13,20260813,0.21398219726979734,11,512,2,0.0,0.0007807160308457086,2.4505463620765514e-06,2380293,3,0,0,0,0,False
improved_gwo,14,20260811,0.2042803332209587,24,512,2,0.2,0.0009006700127817787,0.001,2380293,3,0,0,0,0,False
improved_gwo,14,20260812,0.2263537123799324,11,512,2,0.3,0.00035299851608681845,6.204490126860288e-05,2380293,3,0,0,0,0,False
improved_gwo,14,20260813,0.2100701630115509,11,512,2,0.0,0.0007807160308457086,2.4505463620765514e-06,2380293,3,0,0,0,0,False
improved_gwo,15,20260811,0.21813580691814421,25,512,2,0.2,0.0005893962391614826,4.713236782569767e-06,2380293,3,0,0,0,0,False
improved_gwo,15,20260812,0.21448255516588688,21,512,2,0.3,0.0006949458193611508,0.000248123670016715,2380293,3,0,0,0,0,False
improved_gwo,15,20260813,0.22795127630233764,11,512,2,0.0,0.0013577348899388077,1e-06,2380293,3,0,0,0,0,False
improved_gwo,16,20260811,0.22643955554813147,11,512,2,0.4,0.0008702128175582891,1.2642629398309893e-06,2380293,3,0,0,0,0,False
improved_gwo,16,20260812,0.2099854949861765,4,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,3,0,0,0,0,False
improved_gwo,16,20260813,0.23495718501508236,17,512,2,0.1,0.00044443024541859945,1e-06,2380293,3,0,0,0,0,False
improved_gwo,17,20260811,0.2129408035427332,26,512,2,0.3,0.0006551696349900857,0.00017801710452413182,2380293,3,0,0,0,0,False
improved_gwo,17,20260812,0.23398574367165564,12,512,2,0.3,0.0020575733387514184,0.00012042218780899627,2380293,3,0,0,0,0,False
improved_gwo,17,20260813,0.2089608319103718,11,512,2,0.0,0.0007807160308457086,2.4505463620765514e-06,2380293,3,0,0,0,0,False
improved_gwo,18,20260811,0.16598953641951084,19,512,2,0.2,0.0017733968026015067,6.150917330593129e-06,2380293,3,0,0,0,0,False
improved_gwo,18,20260812,0.17680212073028087,12,512,2,0.3,0.0020575733387514184,0.00012042218780899627,2380293,3,0,0,0,0,False
improved_gwo,18,20260813,0.21701765209436416,6,320,2,0.0,0.003743833507287047,0.00015070757672200086,934725,3,0,0,0,0,False
improved_gwo,19,20260811,0.20902977809309958,22,384,2,0.2,0.0008692436203638845,5.60189055846637e-05,1342853,3,0,0,0,0,False
improved_gwo,19,20260812,0.18145452365279197,4,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,3,0,0,0,0,False
improved_gwo,19,20260813,0.21846842691302298,11,512,2,0.0,0.0013577348899388077,1e-06,2380293,3,0,0,0,0,False
improved_gwo,20,20260811,0.2198251124471426,15,512,2,0.2,0.0005741992119221679,0.001,2380293,3,0,0,0,0,False
improved_gwo,20,20260812,0.1776064984500408,4,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,3,0,0,0,0,False
improved_gwo,20,20260813,0.23052172921597958,11,512,2,0.1,0.0005814215282584255,5.5861844350086765e-06,2380293,3,0,0,0,0,False
random_search,1,20260811,0.1175771951675415,22,512,1,0.0,0.0014217159692230202,0.0003405197430893043,804357,0,0,0,0,0,False
random_search,1,20260812,0.15420301258563995,8,512,1,0.0,0.0006072293663885876,1.6522462584725166e-06,804357,0,0,0,0,0,False
random_search,1,20260813,0.12085854262113571,14,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,0,0,0,0,0,False
random_search,2,20260811,0.23528023809194565,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,2,20260812,0.26314226910471916,21,224,2,0.3,0.002181527126004962,0.00039639694926533255,460773,0,0,0,0,0,False
random_search,2,20260813,0.22160402238368987,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,3,20260811,0.2441529482603073,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,3,20260812,0.2650607004761696,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,3,20260813,0.23089113757014273,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,4,20260811,0.24256783574819565,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,4,20260812,0.255333649367094,16,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,0,0,0,0,0,False
random_search,4,20260813,0.21599202714860438,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,5,20260811,0.2532747656106949,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,5,20260812,0.2780761748552322,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,5,20260813,0.23746101334691047,14,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,0,0,0,0,0,False
random_search,6,20260811,0.23205191418528556,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,6,20260812,0.25856669545173644,16,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,0,0,0,0,0,False
random_search,6,20260813,0.1953645519912243,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,7,20260811,0.22611249573528766,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,7,20260812,0.25448534786701205,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,7,20260813,0.18390546701848506,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,8,20260811,0.2347114972770214,19,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,0,0,0,0,0,False
random_search,8,20260812,0.2844175033271313,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,8,20260813,0.24351103007793426,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,9,20260811,0.22850687690079213,19,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,0,0,0,0,0,False
random_search,9,20260812,0.26976534724235535,16,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,0,0,0,0,0,False
random_search,9,20260813,0.18512615635991098,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,10,20260811,0.2373438235372305,19,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,0,0,0,0,0,False
random_search,10,20260812,0.2654704496264458,16,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,0,0,0,0,0,False
random_search,10,20260813,0.19203950762748717,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,11,20260811,0.18560178987681866,22,512,1,0.0,0.0014217159692230202,0.0003405197430893043,804357,0,0,0,0,0,False
random_search,11,20260812,0.2620011633262038,16,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,0,0,0,0,0,False
random_search,11,20260813,0.20135742090642453,14,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,0,0,0,0,0,False
random_search,12,20260811,0.252732415497303,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,12,20260812,0.27984561771154404,8,512,1,0.0,0.0006072293663885876,1.6522462584725166e-06,804357,0,0,0,0,0,False
random_search,12,20260813,0.20584416687488555,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,13,20260811,0.24258814454078675,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,13,20260812,0.27069287598133085,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,13,20260813,0.19100726395845413,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,14,20260811,0.22564259953796864,19,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,0,0,0,0,0,False
random_search,14,20260812,0.2659525513648987,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,14,20260813,0.19161177352070807,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,15,20260811,0.2455306187272072,19,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,0,0,0,0,0,False
random_search,15,20260812,0.28985356390476225,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,15,20260813,0.20826024413108826,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,16,20260811,0.24654372781515121,19,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,0,0,0,0,0,False
random_search,16,20260812,0.2748467713594437,16,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,0,0,0,0,0,False
random_search,16,20260813,0.22390037216246128,14,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,0,0,0,0,0,False
random_search,17,20260811,0.23874726071953772,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,17,20260812,0.27152819409966467,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,17,20260813,0.20881033018231393,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,18,20260811,0.24606385082006454,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,18,20260812,0.28361446782946587,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,18,20260813,0.16397647187113762,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,19,20260811,0.23192318752408028,23,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,0,0,0,0,0,False
random_search,19,20260812,0.25895687863230704,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,19,20260813,0.1820757392793894,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
random_search,20,20260811,0.1884462483227253,10,320,1,0.0,0.0017501479827680916,4.2991651514725154e-05,318405,0,0,0,0,0,False
random_search,20,20260812,0.28060245141386986,9,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,0,0,0,0,0,False
random_search,20,20260813,0.17971720471978186,21,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,0,0,0,0,0,False
