method,outer_fold,optimizer_seed,best_fitness,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,selected_evaluation_index,unique_candidate_count,cache_hit_count,best_numerical_penalty_folds,outer_test_used
bayesian_optimization,14,20260812,0.21152069866657258,512,2,0.3,0.0008121432638447957,1.008090125146921e-06,2380293,22,30,0,0,False
bayesian_optimization,14,20260813,0.20647992715239524,512,2,0.0,0.0009026740293759706,1.855966900689319e-06,2380293,17,30,0,0,False
bayesian_optimization,15,20260811,0.19990132078528405,512,1,0.0,0.004949538594872876,0.00016793685796765562,804357,8,30,0,0,False
bayesian_optimization,15,20260812,0.21326534822583199,512,2,0.0,0.0007634772504332132,7.453811251470062e-06,2380293,15,30,0,0,False
bayesian_optimization,15,20260813,0.21413086354732513,384,1,0.0,0.0031630824757180437,1.3601028185102782e-06,455813,13,30,0,0,False
bayesian_optimization,16,20260811,0.20722958333790303,512,1,0.0,0.0017517476761986187,2.0936648282779093e-05,804357,24,30,0,0,False
bayesian_optimization,16,20260812,0.20549054853618146,512,1,0.0,0.0015960849700554266,1.0847019765649444e-06,804357,22,30,0,0,False
bayesian_optimization,16,20260813,0.20634959749877452,512,1,0.0,0.0015937216833789342,2.8323351292087e-06,804357,28,30,0,0,False
bayesian_optimization,17,20260811,0.23990354016423227,512,1,0.0,0.003636085589583036,0.0006865075508125366,804357,18,30,0,0,False
bayesian_optimization,17,20260812,0.20824534446001053,512,2,0.1,0.0008130073646365622,0.00036426838579144355,2380293,29,30,0,0,False
bayesian_optimization,17,20260813,0.21060294955968856,512,2,0.4,0.00094282044244778,1.4267143991068778e-06,2380293,14,30,0,0,False
bayesian_optimization,18,20260811,0.1521835595369339,320,1,0.0,0.0045958914406442385,0.00038960513063018674,318405,8,30,0,0,False
bayesian_optimization,18,20260812,0.16164675150066615,512,2,0.0,0.0021766709784145893,0.0006962885821173182,2380293,30,30,0,0,False
bayesian_optimization,18,20260813,0.18557670414447786,320,2,0.2,0.0028803724920650046,1.7616040153883645e-05,934725,26,30,0,0,False
bayesian_optimization,19,20260811,0.21615784466266633,320,1,0.0,0.004979616886212904,4.736115509763203e-05,318405,9,30,0,0,False
bayesian_optimization,19,20260812,0.19890387840569018,512,2,0.0,0.0007567768638097836,0.0005848871139578307,2380293,26,30,0,0,False
bayesian_optimization,19,20260813,0.20298871882259845,512,2,0.4,0.00094282044244778,1.4267143991068778e-06,2380293,14,30,0,0,False
bayesian_optimization,20,20260811,0.18429190218448638,512,1,0.0,0.0030551014185326566,2.1456720846418502e-06,804357,11,30,0,0,False
bayesian_optimization,20,20260812,0.17370187044143676,512,1,0.0,0.0022133883724883546,1.6886653388542236e-05,804357,27,30,0,0,False
bayesian_optimization,20,20260813,0.1816705971956253,320,1,0.0,0.0032365309062194693,0.00021602911069014066,318405,29,30,0,0,False
