outer_fold,alpha,fold_01_loss,fold_02_loss,fold_03_loss,fold_04_loss,fold_05_loss,mean_inner_fitness,median_inner_fitness,outer_test_used
10,0.1,2.5576884203077284,0.072730196764104,0.23596390180196222,0.1617430653519011,0.3254573909869696,0.6707165950425331,0.23596390180196222,False
10,1.0,0.8953681060544202,0.05278994527288964,0.13151435215336965,0.06060222556305881,0.13039604053582182,0.254134133915912,0.13039604053582182,False
10,10.0,1.0164115350917973,0.13265739555051775,0.16744814164928493,0.06228694725093888,0.16659871853366554,0.30908054761524084,0.16659871853366554,False
10,100.0,1.2234930149412897,0.4035571811197925,0.22561201980236936,0.09045874590776445,0.4977540496087636,0.488175002275996,0.4035571811197925,False
10,1000.0,2.484041020378625,1.7222039266406441,0.45411124416662274,0.288643868133286,0.9441648193881889,1.1786329757414733,0.9441648193881889,False
10,10000.0,3.414505300079071,2.560060277955746,0.6073728228391455,0.43337914342303174,1.1241495444526481,1.6278934177499285,1.1241495444526481,False
11,0.0001,1.0674859528238978,0.24388573593547935,0.6008458162209831,0.2102000986396328,0.6846716051000061,0.5614178417439998,0.6008458162209831,False
11,0.001,1.067101943021156,0.23894476282716823,0.5894949918421919,0.20694985658130066,0.6767571139404667,0.5558497336424566,0.5894949918421919,False
11,0.01,1.066866795221074,0.2016728672468965,0.49914270565633856,0.1852521843427177,0.6061283992393481,0.511812590341275,0.49914270565633856,False
11,0.1,1.0888004368623665,0.10177276140457367,0.19681541706233419,0.13135075870356022,0.31058120659086325,0.36586411612473957,0.19681541706233419,False
11,1.0,1.0077851893551895,0.057192891664020896,0.013586898626012279,0.09909042770062262,0.10015710415862852,0.2555625023008948,0.09909042770062262,False
11,10.0,1.0564508139742061,0.1466705167749515,0.055248436113290875,0.08701470605618605,0.14739166995864958,0.2985552285754568,0.1466705167749515,False
11,100.0,1.3038253874511787,0.39930487163131656,0.13877778125751977,0.09704933684794624,0.5441792536038855,0.49662732615836935,0.39930487163131656,False
11,1000.0,2.6330350668957294,1.6566428591809967,0.3628121181013033,0.2880390495014472,1.048552567542547,1.1978163322444044,1.048552567542547,False
11,10000.0,3.6588568523055023,2.507127919911456,0.520575954504786,0.435105410587693,1.2668408761045264,1.6777014026827928,1.2668408761045264,False
12,0.0001,5.378766598828686,0.1547608247960642,0.4271409766469801,0.2240952037602375,0.7293854415335497,1.3828298091131033,0.4271409766469801,False
12,0.001,5.340807412924105,0.1523974630505682,0.4160007795125895,0.21989541539311963,0.6844363654861191,1.3627074872733005,0.4160007795125895,False
12,0.01,4.994370487611454,0.13623482120801209,0.33004294990523686,0.19144505316388857,0.5033744069887776,1.2310935437754738,0.33004294990523686,False
12,0.1,3.139909019543869,0.09497278143519067,0.14061889670939287,0.12344348020291147,0.2088390011901125,0.7415566358162954,0.14061889670939287,False
12,1.0,1.07406173115883,0.06352842603843943,0.12646912286494766,0.06903105425443455,0.13125129848844458,0.2928683265610193,0.12646912286494766,False
12,10.0,1.00944352426485,0.15118109753363046,0.1444564609801712,0.06228275683070539,0.16956881153117356,0.30738653022810614,0.15118109753363046,False
12,100.0,1.3167637998908972,0.392291805448715,0.1738178428986717,0.09508254353402869,0.5102444745432038,0.49764009326310327,0.392291805448715,False
12,1000.0,2.696655509050836,1.6316098458217252,0.3102409887055255,0.328758444613814,0.9673179738360668,1.1869165524055936,0.9673179738360668,False
12,10000.0,3.691123141436369,2.4704227813772897,0.40798387062583197,0.49680276343248997,1.1572509993146163,1.6447167112373193,1.1572509993146163,False
